id,loan_status,approval_prob
58645,1,0.9991
58646,0,0.0207
58647,0,0.4514
58648,0,0.0055
58649,0,0.0473
58650,1,0.9427
58651,0,0.0007
58652,0,0.0064
58653,1,0.5905
58654,0,0.0264
58655,0,0.0764
58656,0,0.0961
58657,0,0.0208
58658,0,0.0024
58659,0,0.0164
58660,0,0.1029
58661,0,0.0328
58662,0,0.0004
58663,0,0.0355
58664,0,0.003
58665,0,0.0231
58666,0,0.0173
58667,0,0.0016
58668,0,0.0063
58669,0,0.0068
58670,0,0.0002
58671,0,0.3449
58672,0,0.0022
58673,1,0.7334
58674,0,1e-04
58675,0,0.0097
58676,0,0.221
58677,0,0.0475
58678,0,0.0044
58679,0,0.2305
58680,1,0.9879
58681,0,0.0495
58682,0,0.0004
58683,0,0.0019
58684,0,0.1886
58685,0,0.1402
58686,0,0.0338
58687,0,0.4834
58688,0,0.0653
58689,0,0.2828
58690,0,1e-04
58691,0,0.0201
58692,0,0.0166
58693,0,0.0138
58694,0,0.1106
58695,1,0.9776
58696,0,0.0112
58697,0,0.0371
58698,0,0.0096
58699,0,0.0083
58700,0,0.0112
58701,0,0.0028
58702,0,0.0149
58703,0,0.0963
58704,0,0.2932
58705,0,0.1521
58706,0,0.0181
58707,0,0.0125
58708,0,0.0309
58709,1,0.9019
58710,0,0.0452
58711,1,0.9102
58712,0,0.0463
58713,0,0.002
58714,0,0.0125
58715,0,0.0017
58716,0,0.2499
58717,0,0.0351
58718,0,0.123
58719,0,0.0041
58720,0,1e-04
58721,0,0.0819
58722,0,0.1254
58723,0,0.0051
58724,0,0.0339
58725,0,0.0208
58726,0,0.0173
58727,0,0.258
58728,0,0.1874
58729,0,0.0101
58730,0,0.0015
58731,0,0.0099
58732,0,0.2974
58733,0,1e-04
58734,0,0.0303
58735,0,0.0228
58736,0,0.0732
58737,0,0.036
58738,1,0.9852
58739,0,0.4362
58740,1,0.8823
58741,0,0.0495
58742,0,0.0016
58743,0,0.0153
58744,0,0.0039
58745,0,0.005
58746,0,0.053
58747,0,0.0023
58748,0,0.0134
58749,0,0.0198
58750,0,0.0056
58751,0,0.0394
58752,1,0.8988
58753,0,0.0023
58754,0,0.0539
58755,0,0.1284
58756,0,0.0015
58757,0,0.0339
58758,0,0.009
58759,0,0.0006
58760,0,0.0002
58761,0,0.0152
58762,0,0.0021
58763,1,0.9537
58764,0,0.0007
58765,0,0.0329
58766,0,0.0076
58767,0,0.0086
58768,1,0.9297
58769,0,0.0023
58770,0,0.0222
58771,0,0.0428
58772,0,0.0185
58773,0,0.0111
58774,0,0.0099
58775,1,0.9633
58776,1,0.819
58777,0,0.0102
58778,0,0.1071
58779,0,0.0378
58780,0,0.0145
58781,0,0.0249
58782,0,0.0723
58783,0,0.0579
58784,0,0.0116
58785,0,0.0025
58786,0,0.0319
58787,0,0.0465
58788,0,0.1373
58789,0,0.0145
58790,0,0.0288
58791,0,0.0966
58792,0,0.0003
58793,0,0.0372
58794,0,0.0063
58795,0,0.0167
58796,0,0.0239
58797,0,0.0288
58798,0,0.1016
58799,1,0.9188
58800,0,0.0262
58801,0,0.0013
58802,1,0.8248
58803,0,0.194
58804,0,0.4289
58805,1,0.9548
58806,0,0.0624
58807,0,0.0085
58808,0,0.0099
58809,1,0.9598
58810,1,0.8702
58811,0,0.0297
58812,0,0.048
58813,0,0.0484
58814,0,0.0559
58815,0,0.0041
58816,0,0.0124
58817,0,0.0021
58818,0,0.0315
58819,0,0.0764
58820,0,0.0013
58821,0,0.0161
58822,0,0.0022
58823,0,0.1736
58824,0,0.0584
58825,0,0.0002
58826,0,0.1297
58827,0,0.0168
58828,0,0.001
58829,0,0.2492
58830,0,0.0117
58831,0,0.1453
58832,0,0.0149
58833,0,0.0065
58834,0,0.0077
58835,1,0.9732
58836,0,0.023
58837,0,0.1232
58838,0,0.0041
58839,0,0.0002
58840,0,0.0042
58841,1,0.9115
58842,0,0.0011
58843,0,0.0191
58844,0,0.0707
58845,0,0.0544
58846,0,1e-04
58847,1,0.9534
58848,1,0.5059
58849,0,0.2146
58850,0,0.0259
58851,0,0.0607
58852,0,0.3062
58853,0,0.0426
58854,1,0.9948
58855,0,0.2906
58856,0,0.0008
58857,0,0.0919
58858,0,0.1988
58859,0,0.0151
58860,0,0.0018
58861,0,0.0224
58862,0,0.1648
58863,0,0.3703
58864,0,0.0059
58865,0,0.4192
58866,0,0.0196
58867,0,1e-04
58868,0,0.0219
58869,0,0.0155
58870,0,0.3287
58871,0,0.0023
58872,0,0.024
58873,0,0.0103
58874,1,0.9522
58875,0,0.0054
58876,0,0.0092
58877,0,0.0003
58878,0,0.015
58879,0,0.0044
58880,0,0.0145
58881,0,0.0184
58882,0,0.0009
58883,0,0.1472
58884,0,0.096
58885,0,0.1397
58886,0,0.0005
58887,1,0.9369
58888,0,0.4115
58889,1,0.9878
58890,0,0.1124
58891,0,0.3829
58892,0,0.0405
58893,0,0.0053
58894,0,0.0878
58895,0,0.0018
58896,0,0.0016
58897,0,0.0418
58898,0,0.1292
58899,1,0.9699
58900,0,0.0082
58901,0,0.0651
58902,0,0.0953
58903,0,0.003
58904,0,0.0249
58905,0,0.0016
58906,0,0.0749
58907,0,0.0529
58908,0,0.0124
58909,0,0.0346
58910,0,0.0046
58911,0,0.0464
58912,0,0.0003
58913,0,0.1404
58914,0,0.0179
58915,0,0.0113
58916,0,0.0193
58917,0,0.0409
58918,0,0.0189
58919,0,0.0027
58920,0,0.1765
58921,0,0.0053
58922,0,0.0304
58923,0,0.0058
58924,0,0.0411
58925,0,0.0064
58926,0,0.2659
58927,0,0.015
58928,0,0.1029
58929,0,0.001
58930,0,0.0133
58931,1,0.8593
58932,1,0.9666
58933,0,0.0838
58934,0,0.033
58935,0,0.0207
58936,0,0.0281
58937,0,0.0129
58938,0,0.0082
58939,0,0.0029
58940,0,0.0067
58941,1,0.9719
58942,1,0.8953
58943,0,0.0205
58944,0,0.0162
58945,0,0.0253
58946,0,0.0138
58947,0,0.0105
58948,0,0.0147
58949,0,0.0003
58950,1,0.5934
58951,0,0.0397
58952,0,0.0074
58953,0,0.0049
58954,1,0.9888
58955,0,0.0165
58956,0,0.001
58957,1,0.9926
58958,1,0.9984
58959,0,0.0033
58960,0,0.0277
58961,0,0.0048
58962,0,0.0961
58963,0,0.1189
58964,0,0.0185
58965,0,0.031
58966,0,0.0267
58967,0,0.0035
58968,0,0.0114
58969,0,0.2001
58970,0,0.0018
58971,0,0.1071
58972,0,0.0593
58973,1,0.9825
58974,0,0.1463
58975,0,0.0648
58976,0,0.0361
58977,0,0.0598
58978,0,0.0123
58979,0,0.0166
58980,0,0.0145
58981,0,0.001
58982,0,0.0094
58983,0,0.0027
58984,0,0.0121
58985,0,0.0727
58986,1,0.9789
58987,0,0.0025
58988,0,0.027
58989,0,0.0225
58990,0,0.0004
58991,0,0.0204
58992,0,0.0157
58993,0,0.0015
58994,0,0.0154
58995,1,0.9985
58996,0,0.0219
58997,1,0.9151
58998,0,0.0029
58999,0,0.0086
59000,0,0.0817
59001,0,0.0626
59002,0,0.1704
59003,0,0.0627
59004,0,0.0257
59005,0,0.0008
59006,0,0.0348
59007,0,0.0433
59008,1,0.9917
59009,0,0.0135
59010,0,0.0076
59011,0,0.0105
59012,0,0.0176
59013,0,0.0005
59014,0,0.0059
59015,0,0.1433
59016,0,0.0117
59017,0,0.0194
59018,0,0.0286
59019,0,0.0095
59020,0,0.0025
59021,0,0.0297
59022,0,0.0891
59023,1,0.9332
59024,0,0.0398
59025,1,0.9857
59026,0,0.0165
59027,0,0.0039
59028,0,0.0228
59029,0,0.073
59030,0,0.0043
59031,1,0.8446
59032,1,0.7443
59033,0,0.0566
59034,0,0.0814
59035,0,0.0218
59036,0,0.0744
59037,0,0.0927
59038,0,0.0111
59039,0,0.0422
59040,0,0.006
59041,0,0.019
59042,0,0.0258
59043,1,0.9596
59044,0,0.0036
59045,0,0.0119
59046,0,0.2896
59047,0,0.352
59048,0,0.005
59049,0,0.028
59050,0,0.0055
59051,0,0.0274
59052,0,0.0022
59053,0,0.0294
59054,0,0.0494
59055,0,0.0364
59056,0,0.0056
59057,1,0.9516
59058,0,0.0086
59059,0,0.1727
59060,0,0.0015
59061,0,0.0136
59062,0,0.0205
59063,0,0.0008
59064,0,0.0095
59065,0,0.0002
59066,0,0.0463
59067,0,0.0027
59068,0,0.0471
59069,0,0.0345
59070,0,0.0117
59071,0,0.0975
59072,0,0.0143
59073,1,0.971
59074,0,0.0144
59075,0,0.0318
59076,0,0.0674
59077,1,0.9868
59078,0,0.0285
59079,0,0.066
59080,0,0.0038
59081,0,0.0283
59082,0,0.0279
59083,0,0.0042
59084,0,0.0005
59085,0,0.0451
59086,0,0.1259
59087,0,0.0706
59088,0,0.0394
59089,0,0.0428
59090,0,0.037
59091,0,0.0008
59092,0,0.1055
59093,0,0.0263
59094,0,0.0108
59095,0,0.0002
59096,1,0.9763
59097,0,0.127
59098,0,0.0156
59099,0,0.0095
59100,0,0.0028
59101,0,0.0093
59102,0,0.0175
59103,0,0.0234
59104,0,1e-04
59105,0,0.0576
59106,0,0.0006
59107,0,0.0218
59108,0,0.0608
59109,0,0.0493
59110,0,0.0175
59111,0,0.0098
59112,0,0.0216
59113,1,0.9589
59114,0,0.0489
59115,0,0.1857
59116,0,0.0011
59117,0,0.0068
59118,0,0.0512
59119,0,0.0089
59120,0,0.0022
59121,0,0.0044
59122,0,0.0333
59123,1,0.9947
59124,1,0.9321
59125,0,0.0513
59126,1,0.8971
59127,0,0.0084
59128,0,0.0121
59129,0,0.0044
59130,0,0.0195
59131,0,0.0329
59132,0,0.1248
59133,1,0.8795
59134,0,0.0381
59135,0,0.0
59136,0,0.0063
59137,0,0.0193
59138,0,0.0119
59139,0,0.0037
59140,0,0.0375
59141,1,0.9777
59142,0,0.1588
59143,0,0.0093
59144,0,0.0207
59145,0,0.0261
59146,0,0.0205
59147,0,0.0241
59148,0,0.0188
59149,0,0.0107
59150,0,0.0098
59151,0,0.0296
59152,0,0.0052
59153,0,0.0012
59154,0,0.0652
59155,0,0.0615
59156,0,0.0985
59157,0,0.0148
59158,0,0.0216
59159,0,0.0138
59160,0,0.0421
59161,0,0.0044
59162,0,0.0052
59163,0,0.0172
59164,0,0.0445
59165,0,0.0897
59166,0,0.0012
59167,0,0.0366
59168,0,0.1669
59169,1,0.9685
59170,0,0.0144
59171,0,0.0074
59172,0,0.1998
59173,0,0.0009
59174,0,0.0073
59175,0,0.004
59176,0,0.0426
59177,0,0.0058
59178,0,0.0016
59179,0,0.0062
59180,0,0.1561
59181,0,0.3749
59182,1,0.9748
59183,0,0.0333
59184,0,0.0243
59185,0,0.2485
59186,0,0.0095
59187,0,0.0083
59188,0,0.0388
59189,0,0.0387
59190,0,0.002
59191,0,0.0152
59192,0,0.2787
59193,0,0.0053
59194,0,0.1334
59195,0,0.0222
59196,0,0.0214
59197,0,0.0267
59198,0,0.0556
59199,0,0.0014
59200,1,0.9995
59201,0,0.0039
59202,0,0.0069
59203,0,0.4193
59204,0,0.1009
59205,0,0.005
59206,0,0.0036
59207,0,0.0248
59208,0,0.01
59209,0,0.0047
59210,0,0.0126
59211,0,0.181
59212,0,0.0304
59213,0,0.0376
59214,0,0.0222
59215,0,0.0087
59216,0,0.0205
59217,0,0.0023
59218,0,0.0005
59219,0,0.0064
59220,1,0.7119
59221,1,0.967
59222,0,0.0178
59223,0,0.0149
59224,0,0.1409
59225,0,0.0099
59226,0,0.0069
59227,0,0.1421
59228,0,0.2078
59229,0,0.0004
59230,0,0.0056
59231,0,0.0005
59232,0,0.0742
59233,0,0.0153
59234,0,0.0344
59235,0,0.0042
59236,0,0.0949
59237,0,0.0395
59238,0,0.0031
59239,0,0.3569
59240,0,0.0024
59241,0,0.0366
59242,0,0.0449
59243,1,0.988
59244,0,0.0211
59245,1,0.8093
59246,0,0.0102
59247,0,0.0187
59248,0,0.0038
59249,0,0.1052
59250,0,0.328
59251,0,0.0491
59252,0,0.0094
59253,0,0.0633
59254,0,0.0404
59255,0,0.0035
59256,0,0.0005
59257,1,0.9861
59258,0,0.0076
59259,1,0.9994
59260,0,0.0108
59261,0,0.0211
59262,0,0.113
59263,0,1e-04
59264,0,0.1522
59265,0,0.4659
59266,0,0.0635
59267,1,0.5514
59268,0,0.0405
59269,0,0.0037
59270,1,0.9942
59271,0,0.0037
59272,1,0.9655
59273,0,0.0103
59274,0,0.215
59275,0,0.0099
59276,0,0.0661
59277,0,0.0081
59278,0,0.0527
59279,0,0.0033
59280,0,0.0037
59281,0,0.0456
59282,0,0.0055
59283,0,0.0068
59284,0,0.0038
59285,0,0.0213
59286,0,0.0748
59287,0,0.0227
59288,1,0.9933
59289,0,0.0046
59290,0,0.0442
59291,0,0.0438
59292,0,1e-04
59293,0,0.007
59294,1,0.9706
59295,0,0.1797
59296,0,0.0021
59297,0,0.0131
59298,0,0.0323
59299,0,0.0159
59300,0,0.0903
59301,0,0.0263
59302,0,0.0681
59303,0,0.0284
59304,0,0.0963
59305,0,0.0795
59306,0,0.0091
59307,0,0.0082
59308,0,0.0027
59309,0,0.0028
59310,0,0.0029
59311,0,0.0561
59312,0,0.0473
59313,1,0.959
59314,0,0.4058
59315,0,0.0054
59316,0,0.4195
59317,0,0.0325
59318,0,0.0161
59319,0,0.0943
59320,0,0.0255
59321,0,0.0798
59322,0,0.0492
59323,0,0.0642
59324,1,0.8384
59325,0,0.0336
59326,0,0.0171
59327,0,0.0278
59328,0,0.0073
59329,0,0.0142
59330,0,0.2465
59331,0,0.0509
59332,0,0.0069
59333,0,0.0019
59334,0,0.0686
59335,0,0.0103
59336,0,0.048
59337,0,0.0064
59338,0,0.0755
59339,0,0.4566
59340,0,0.423
59341,0,0.0732
59342,0,0.1008
59343,0,0.0199
59344,0,0.0846
59345,0,0.0052
59346,0,0.0071
59347,0,0.1106
59348,0,0.0138
59349,0,0.0299
59350,0,0.0175
59351,0,0.0229
59352,0,0.0618
59353,1,0.9532
59354,1,0.8881
59355,0,0.0003
59356,0,0.0064
59357,0,0.0035
59358,0,0.0103
59359,0,0.0462
59360,1,0.9545
59361,0,0.0082
59362,0,0.332
59363,0,0.001
