id,loan_status,probability
58645,1,0.9952
58646,0,0.0263
58647,0,0.3791
58648,0,0.0069
58649,0,0.0816
58650,1,0.9417
58651,0,0.001
58652,0,0.0092
58653,1,0.5697
58654,0,0.0343
58655,0,0.0484
58656,0,0.1006
58657,0,0.0242
58658,0,0.0038
58659,0,0.0228
58660,0,0.0969
58661,0,0.0241
58662,0,0.0008
58663,0,0.042
58664,0,0.004
58665,0,0.0328
58666,0,0.0188
58667,0,0.0042
58668,0,0.0078
58669,0,0.0078
58670,0,0.0005
58671,0,0.2929
58672,0,0.0034
58673,1,0.6844
58674,0,0.0003
58675,0,0.0122
58676,0,0.2766
58677,0,0.0372
58678,0,0.0052
58679,0,0.2584
58680,1,0.9836
58681,0,0.0469
58682,0,0.0008
58683,0,0.0042
58684,0,0.1924
58685,0,0.1446
58686,0,0.0266
58687,1,0.533
58688,0,0.0592
58689,0,0.2886
58690,0,0.0004
58691,0,0.0223
58692,0,0.0256
58693,0,0.0085
58694,0,0.0618
58695,1,0.9623
58696,0,0.0183
58697,0,0.0529
58698,0,0.016
58699,0,0.0136
58700,0,0.0085
58701,0,0.0048
58702,0,0.0255
58703,0,0.1153
58704,0,0.3027
58705,0,0.1833
58706,0,0.0282
58707,0,0.0155
58708,0,0.032
58709,1,0.8913
58710,0,0.0516
58711,1,0.9064
58712,0,0.06
58713,0,0.0034
58714,0,0.0166
58715,0,0.0031
58716,0,0.1974
58717,0,0.0226
58718,0,0.1248
58719,0,0.0059
58720,0,0.0002
58721,0,0.0714
58722,0,0.1261
58723,0,0.0089
58724,0,0.0386
58725,0,0.0168
58726,0,0.0171
58727,0,0.3033
58728,0,0.1544
58729,0,0.014
58730,0,0.0022
58731,0,0.0131
58732,0,0.1619
58733,0,1e-04
58734,0,0.0186
58735,0,0.0303
58736,0,0.0901
58737,0,0.0471
58738,1,0.984
58739,0,0.3766
58740,1,0.8338
58741,0,0.0476
58742,0,0.0025
58743,0,0.0219
58744,0,0.0038
58745,0,0.0077
58746,0,0.06
58747,0,0.0039
58748,0,0.015
58749,0,0.0255
58750,0,0.0063
58751,0,0.0409
58752,1,0.8702
58753,0,0.0032
58754,0,0.0518
58755,0,0.1189
58756,0,0.0021
58757,0,0.0308
58758,0,0.0071
58759,0,0.0007
58760,0,0.0004
58761,0,0.0177
58762,0,0.0046
58763,1,0.9216
58764,0,0.0017
58765,0,0.0338
58766,0,0.0096
58767,0,0.0112
58768,1,0.9166
58769,0,0.0031
58770,0,0.0174
58771,0,0.0478
58772,0,0.0221
58773,0,0.0185
58774,0,0.0168
58775,1,0.9465
58776,1,0.7241
58777,0,0.0116
58778,0,0.059
58779,0,0.0276
58780,0,0.0156
58781,0,0.0233
58782,0,0.087
58783,0,0.0594
58784,0,0.0158
58785,0,0.0038
58786,0,0.0343
58787,0,0.0299
58788,0,0.1377
58789,0,0.0225
58790,0,0.0299
58791,0,0.094
58792,0,0.0003
58793,0,0.0471
58794,0,0.0082
58795,0,0.0214
58796,0,0.025
58797,0,0.0434
58798,0,0.0825
58799,1,0.8672
58800,0,0.0321
58801,0,0.0018
58802,1,0.8101
58803,0,0.1938
58804,0,0.3952
58805,1,0.9542
58806,0,0.0508
58807,0,0.0113
58808,0,0.0162
58809,1,0.9495
58810,1,0.9057
58811,0,0.0205
58812,0,0.0506
58813,0,0.0409
58814,0,0.0506
58815,0,0.0087
58816,0,0.0138
58817,0,0.0018
58818,0,0.0362
58819,0,0.0868
58820,0,0.0019
58821,0,0.0246
58822,0,0.0034
58823,0,0.1586
58824,0,0.0494
58825,0,0.0003
58826,0,0.1523
58827,0,0.022
58828,0,0.0009
58829,0,0.1816
58830,0,0.0062
58831,0,0.145
58832,0,0.0202
58833,0,0.0079
58834,0,0.0138
58835,1,0.9658
58836,0,0.0346
58837,0,0.1152
58838,0,0.0053
58839,0,0.0003
58840,0,0.0057
58841,1,0.9076
58842,0,0.0013
58843,0,0.0265
58844,0,0.0589
58845,0,0.0436
58846,0,1e-04
58847,1,0.9383
58848,0,0.3228
58849,0,0.2685
58850,0,0.0309
58851,0,0.0559
58852,0,0.3039
58853,0,0.0427
58854,1,0.9892
58855,0,0.2445
58856,0,0.0015
58857,0,0.0704
58858,0,0.2031
58859,0,0.0191
58860,0,0.0025
58861,0,0.0315
58862,0,0.166
58863,0,0.4405
58864,0,0.0066
58865,0,0.4656
58866,0,0.0364
58867,0,0.0003
