Income,Spending,Label
15,39,4
15,81,2
16,6,4
16,77,2
17,40,4
17,76,2
18,6,4
18,94,2
19,3,4
19,72,2
19,14,4
19,99,2
20,15,4
20,77,2
20,13,4
20,79,2
21,35,4
21,66,2
23,29,4
23,98,2
24,35,4
24,73,2
25,5,4
25,73,2
28,14,4
28,82,2
28,32,4
28,61,2
29,31,4
29,87,2
30,4,4
30,73,2
33,4,4
33,92,2
33,14,4
33,81,2
34,17,4
34,73,2
37,26,4
37,75,2
38,35,4
38,92,2
39,36,4
39,61,0
39,28,4
39,65,2
40,55,0
40,47,0
40,42,0
40,42,0
42,52,0
42,60,0
43,54,0
43,60,0
43,45,0
43,41,0
44,50,0
44,46,0
46,51,0
46,46,0
46,56,0
46,55,0
47,52,0
47,59,0
48,51,0
48,59,0
48,50,0
48,48,0
48,59,0
48,47,0
49,55,0
49,42,0
50,49,0
50,56,0
54,47,0
54,54,0
54,53,0
54,48,0
54,52,0
54,42,0
54,51,0
54,55,0
54,41,0
54,44,0
54,57,0
54,46,0
57,58,0
57,55,0
58,60,0
58,46,0
59,55,0
59,41,0
60,49,0
60,40,0
60,42,0
60,52,0
60,47,0
60,50,0
61,42,0
61,49,0
62,41,0
62,48,0
62,59,0
62,55,0
62,56,0
62,42,0
63,50,0
63,46,0
63,43,0
63,48,0
63,52,0
63,54,0
64,42,0
64,46,0
65,48,0
65,50,0
65,43,0
65,59,0
67,43,0
67,57,0
67,56,0
67,40,0
69,58,0
69,91,1
70,29,3
70,77,1
71,35,0
71,95,1
71,11,3
71,75,1
71,9,3
71,75,1
72,34,0
72,71,1
73,5,3
73,88,1
73,7,3
73,73,1
74,10,3
74,72,1
75,5,3
75,93,1
76,40,0
76,87,1
77,12,3
77,97,1
77,36,3
77,74,1
78,22,3
78,90,1
78,17,3
78,88,1
78,20,3
78,76,1
78,16,3
78,89,1
78,1,3
78,78,1
78,1,3
78,73,1
79,35,3
79,83,1
81,5,3
81,93,1
85,26,3
85,75,1
86,20,3
86,95,1
87,27,3
87,63,1
87,13,3
87,75,1
87,10,3
87,92,1
88,13,3
88,86,1
88,15,3
88,69,1
93,14,3
93,90,1
97,32,3
97,86,1
98,15,3
98,88,1
99,39,3
99,97,1
101,24,3
101,68,1
103,17,3
103,85,1
103,23,3
103,69,1
113,8,3
113,91,1
120,16,3
120,79,1
126,28,3
126,74,1
137,18,3
137,83,1
